"vendor_guid","object_type","title","description","display_name","calculation_method","calculation_int","workflow_state","parent_guids","mastery_points","ratings",,,,,,,
"lt1","outcome","LT-1","Find and interpret average velocity and its units, using information about the position function (as a table, graph, or function formula).","LT-1","highest",,"active",,10,10,"Mastery",5,"Partial understanding",1,"Unfamiliarity",0,"Not yet attempted"
"lt2","outcome","LT-2","Estimate the derivative of a function at a given value using numerical or graphical data.","LT-2","highest",,"active",,10,10,"Mastery",5,"Partial understanding",1,"Unfamiliarity",0,"Not yet attempted"
"lt3","outcome","LT-3","Use the limit definition of the derivative to find a formula for the derivative function.","LT-3","highest",,"active",,10,10,"Mastery",5,"Partial understanding",1,"Unfamiliarity",0,"Not yet attempted"
"lt4","outcome","LT-4","Given the graph of a function, sketch an accurate graph of its derivative (including the correct sign, direction, relative heights, zeros, and any places where the derivative doesn't exist).","LT-4","highest",,"active",,10,10,"Mastery",5,"Partial understanding",1,"Unfamiliarity",0,"Not yet attempted"
"lt5","outcome","LT-5","Interpret the instantaneous rate of change of a function and explain its meaning in context.","LT-5","highest",,"active",,10,10,"Mastery",5,"Partial understanding",1,"Unfamiliarity",0,"Not yet attempted"
"lt6","outcome","LT-6","Recognize and explain the relationships among the behaviors of \(f\), \(f'\), and \(f''\) by analyzing graphical or numerical information from one or more of \(f\), \(f'\), and \(f''\).","LT-6","highest",,"active",,10,10,"Mastery",5,"Partial understanding",1,"Unfamiliarity",0,"Not yet attempted"
"lt7","outcome","LT-7","Find an equation of the tangent line to a function at a point and use the tangent line to approximate values of the function.","LT-7","highest",,"active",,10,10,"Mastery",5,"Partial understanding",1,"Unfamiliarity",0,"Not yet attempted"
"lt8","outcome","LT-8","Find the derivative of polynomials, exponential, logarithmic, and trigonometric functions with fluency.","LT-8","highest",,"active",,10,10,"Mastery",5,"Partial understanding",1,"Unfamiliarity",0,"Not yet attempted"
"lt9","outcome","LT-9","Use the product and quotient rules to find the derivative of a function.","LT-9","highest",,"active",,10,10,"Mastery",5,"Partial understanding",1,"Unfamiliarity",0,"Not yet attempted"
"lt10","outcome","LT-10","Use the chain rule to find the derivative of a composite function.","LT-10","highest",,"active",,10,10,"Mastery",5,"Partial understanding",1,"Unfamiliarity",0,"Not yet attempted"
"lt11","outcome","LT-11","Use multiple derivative rules in combination to find the derivative of a function.","LT-11","highest",,"active",,10,10,"Mastery",5,"Partial understanding",1,"Unfamiliarity",0,"Not yet attempted"
"lt12","outcome","LT-12","Use implicit differentiation to find \(dy/dx\) for a function defined implicitly, using basic derivative and structure rules in the process.","LT-12","highest",,"active",,10,10,"Mastery",5,"Partial understanding",1,"Unfamiliarity",0,"Not yet attempted"
"lt13","outcome","LT-13","Solve related rates problems and interpret the results in the given context.","LT-13","highest",,"active",,10,10,"Mastery",5,"Partial understanding",1,"Unfamiliarity",0,"Not yet attempted"
"lt14","outcome","LT-14","Solve applied optimization problems using appropriate derivative tests and write a concluding sentence that justifies my work.","LT-14","highest",,"active",,10,10,"Mastery",5,"Partial understanding",1,"Unfamiliarity",0,"Not yet attempted"
"lt15","outcome","LT-15","Use derivatives to describe the behavior of functions, including local extrema, inflections points, intervals of increase and decrease, and concavity.","LT-15","highest",,"active",,10,10,"Mastery",5,"Partial understanding",1,"Unfamiliarity",0,"Not yet attempted"
"lt16","outcome","LT-16","Use derivatives to evaluate limits with indeterminate forms by applying L'Hôpital's Rule.","LT-16","highest",,"active",,10,10,"Mastery",5,"Partial understanding",1,"Unfamiliarity",0,"Not yet attempted"
"lt17","outcome","LT-17","For an object with a piecewise linear velocity function, compute the exact distance traveled and change in position of the object over a given time interval.","LT-17","highest",,"active",,10,10,"Mastery",5,"Partial understanding",1,"Unfamiliarity",0,"Not yet attempted"
"lt18","outcome","LT-18","Compute a Riemann sum and interpret the result as an accumulation of a changing quantity.","LT-18","highest",,"active",,10,10,"Mastery",5,"Partial understanding",1,"Unfamiliarity",0,"Not yet attempted"
"lt19","outcome","LT-19","Interpret a definite integral in terms of net-signed area.","LT-19","highest",,"active",,10,10,"Mastery",5,"Partial understanding",1,"Unfamiliarity",0,"Not yet attempted"
"lt20","outcome","LT-20","Use the Fundamental Theorem of Calculus to evaluate definite integrals exactly.","LT-20","highest",,"active",,10,10,"Mastery",5,"Partial understanding",1,"Unfamiliarity",0,"Not yet attempted"
